transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
TX-INT-1000,2023-10-01T00:00:00Z,SELL,DOT,61.095,45590.17,0.0,Internal SELL DOT
TX-INT-1001,2023-10-01T00:05:00Z,SELL,SOL,54.1309,7604.62,0.0,Internal SELL SOL
TX-INT-1002,2023-10-01T00:10:00Z,TRANSFER_IN,SOL,41.6928,13245.71,0.0,Internal TRANSFER_IN SOL
TX-INT-1003,2023-10-01T00:15:00Z,SELL,ADA,98.9798,49722.38,0.0,Internal SELL ADA
TX-INT-1004,2023-10-01T00:20:00Z,TRANSFER_IN,BTC,98.3149,44987.02,0.0,Internal TRANSFER_IN BTC
TX-INT-1005,2023-10-01T00:25:00Z,TRANSFER_OUT,SOL,28.9603,49100.49,0.0,Internal TRANSFER_OUT SOL
TX-INT-1006,2023-10-01T00:30:00Z,TRANSFER_IN,ADA,52.0238,40263.85,0.0,Internal TRANSFER_IN ADA
TX-INT-1007,2023-10-01T00:35:00Z,TRANSFER_IN,ETH,73.2076,43384.39,0.0,Internal TRANSFER_IN ETH
TX-INT-1008,2023-10-01T00:40:00Z,TRANSFER_IN,ETH,8.6018,24860.94,0.0,Internal TRANSFER_IN ETH
TX-INT-1009,2023-10-01T00:45:00Z,TRANSFER_OUT,BTC,50.1023,3246.51,0.0,Internal TRANSFER_OUT BTC
TX-INT-1010,2023-10-01T00:50:00Z,SELL,ADA,9.2682,41900.72,0.0,Internal SELL ADA
TX-INT-1011,2023-10-01T00:55:00Z,TRANSFER_OUT,BTC,72.1672,49621.71,0.0,Internal TRANSFER_OUT BTC
TX-INT-1012,2023-10-01T01:00:00Z,TRANSFER_IN,DOT,20.5807,48667.56,0.0,Internal TRANSFER_IN DOT
TX-INT-1013,2023-10-01T01:05:00Z,TRANSFER_IN,SOL,37.732,27898.71,0.0,Internal TRANSFER_IN SOL
TX-INT-1014,2023-10-01T01:10:00Z,SELL,USDT,94.8315,16628.46,0.0,Internal SELL USDT
